sessionId,participantId,compositionIndex,trialGlobalIndex,trialInComposition,blockId,blockLabel,blockTrialIndex,elapsedMs,strokeCount,pointCount,startedAtIso,endedAtIso
a50c3bd7cd0f45359c,,1,1,1,free,마음대로,1,30741,5,325,2026-05-27T12:25:40.502Z,2026-05-27T12:26:11.243Z
a50c3bd7cd0f45359c,,1,2,2,free,마음대로,2,9279,4,189,2026-05-27T12:26:11.243Z,2026-05-27T12:26:20.523Z
a50c3bd7cd0f45359c,,1,3,3,free,마음대로,3,5285,5,169,2026-05-27T12:26:20.523Z,2026-05-27T12:26:25.808Z
a50c3bd7cd0f45359c,,1,4,4,straight,똑바로,1,3663,5,176,2026-05-27T12:26:25.808Z,2026-05-27T12:26:29.471Z
a50c3bd7cd0f45359c,,1,5,5,straight,똑바로,2,20281,5,503,2026-05-27T12:26:29.471Z,2026-05-27T12:26:49.752Z
a50c3bd7cd0f45359c,,1,6,6,straight,똑바로,3,7751,5,419,2026-05-27T12:26:49.752Z,2026-05-27T12:26:57.503Z
a50c3bd7cd0f45359c,,1,7,7,straight,똑바로,4,6218,5,349,2026-05-27T12:26:57.504Z,2026-05-27T12:27:03.722Z
a50c3bd7cd0f45359c,,1,8,8,straight,똑바로,5,7650,4,391,2026-05-27T12:27:03.722Z,2026-05-27T12:27:11.372Z
a50c3bd7cd0f45359c,,1,9,9,straight,똑바로,6,10378,5,454,2026-05-27T12:27:11.372Z,2026-05-27T12:27:21.750Z
a50c3bd7cd0f45359c,,1,10,10,straight,똑바로,7,6454,5,333,2026-05-27T12:27:21.750Z,2026-05-27T12:27:28.205Z
a50c3bd7cd0f45359c,,1,11,11,comfortable,편하게,1,10372,5,229,2026-05-27T12:27:28.204Z,2026-05-27T12:27:38.577Z
a50c3bd7cd0f45359c,,1,12,12,comfortable,편하게,2,4442,5,215,2026-05-27T12:27:38.578Z,2026-05-27T12:27:43.020Z
a50c3bd7cd0f45359c,,1,13,13,comfortable,편하게,3,5943,4,193,2026-05-27T12:27:43.020Z,2026-05-27T12:27:48.963Z
a50c3bd7cd0f45359c,,1,14,14,comfortable,편하게,4,4384,5,204,2026-05-27T12:27:48.963Z,2026-05-27T12:27:53.347Z
a50c3bd7cd0f45359c,,1,15,15,comfortable,편하게,5,4539,4,241,2026-05-27T12:27:53.347Z,2026-05-27T12:27:57.886Z
a50c3bd7cd0f45359c,,1,16,16,comfortable,편하게,6,5263,5,253,2026-05-27T12:27:57.886Z,2026-05-27T12:28:03.149Z
a50c3bd7cd0f45359c,,1,17,17,comfortable,편하게,7,5122,4,273,2026-05-27T12:28:03.149Z,2026-05-27T12:28:08.271Z
a50c3bd7cd0f45359c,,1,18,18,fast,빠르게,1,3996,4,105,2026-05-27T12:28:08.271Z,2026-05-27T12:28:12.267Z
a50c3bd7cd0f45359c,,1,19,19,fast,빠르게,2,1920,5,118,2026-05-27T12:28:12.267Z,2026-05-27T12:28:14.187Z
a50c3bd7cd0f45359c,,1,20,20,fast,빠르게,3,2382,4,123,2026-05-27T12:28:14.187Z,2026-05-27T12:28:16.569Z
a50c3bd7cd0f45359c,,1,21,21,fast,빠르게,4,1838,4,115,2026-05-27T12:28:16.569Z,2026-05-27T12:28:18.407Z
a50c3bd7cd0f45359c,,1,22,22,fast,빠르게,5,1787,4,124,2026-05-27T12:28:18.407Z,2026-05-27T12:28:20.194Z
a50c3bd7cd0f45359c,,1,23,23,fast,빠르게,6,1947,4,117,2026-05-27T12:28:20.193Z,2026-05-27T12:28:22.141Z
a50c3bd7cd0f45359c,,1,24,24,fast,빠르게,7,2082,4,127,2026-05-27T12:28:22.141Z,2026-05-27T12:28:24.223Z
a50c3bd7cd0f45359c,,1,25,25,final_straight,최종 똑바로,1,9411,5,172,2026-05-27T12:28:24.223Z,2026-05-27T12:28:33.635Z
a50c3bd7cd0f45359c,,1,26,26,final_straight,최종 똑바로,2,4140,4,181,2026-05-27T12:28:33.635Z,2026-05-27T12:28:37.775Z
a50c3bd7cd0f45359c,,1,27,27,final_straight,최종 똑바로,3,3495,4,197,2026-05-27T12:28:37.774Z,2026-05-27T12:28:41.270Z
a50c3bd7cd0f45359c,,2,28,1,free,마음대로,1,10071,5,181,2026-05-27T12:29:26.941Z,2026-05-27T12:29:37.013Z
a50c3bd7cd0f45359c,,2,29,2,free,마음대로,2,3921,5,182,2026-05-27T12:29:37.013Z,2026-05-27T12:29:40.935Z
a50c3bd7cd0f45359c,,2,30,3,free,마음대로,3,3456,4,182,2026-05-27T12:29:40.935Z,2026-05-27T12:29:44.391Z
a50c3bd7cd0f45359c,,2,31,4,straight,똑바로,1,8137,4,309,2026-05-27T12:29:44.391Z,2026-05-27T12:29:52.528Z
a50c3bd7cd0f45359c,,2,32,5,straight,똑바로,2,4425,4,267,2026-05-27T12:29:52.528Z,2026-05-27T12:29:56.953Z
a50c3bd7cd0f45359c,,2,33,6,straight,똑바로,3,4554,3,299,2026-05-27T12:29:56.953Z,2026-05-27T12:30:01.507Z
